8,Matthew 20:25,"But Jesus called them to him and said, “You know that the rulers of the Gentiles lord it over them, and their great ones exercise authority over them."
8, Mark 10:42,"And Jesus called them to him and said to them, “You know that those who are considered rulers of the Gentiles lord it over them, and their great ones exercise authority over them."
12,2 Corinthians 1:24,"Not that we lord it over your faith, but we work with you for your joy, for you stand firm in your faith."
