DATE,TITLE,SPEAKER,SERIES,SERVICE,FILES
2/22/09,Our Responibility to Elders,Gary Henry,Elders and Deacons,Sunday Morning,022209_OurResponsibilityToElders_GaryHenry.mp3
2/22/09,Leviticus - Deuteronomy,Jeremy Sweets,Bible Background,Sunday Evening,022209_BibleBackgroundLeviticusToDeuteronomy_JeremySweets.mp3
2/15/09,Four Words To Describe Elders,Mike Roy,Elders and Deacons,Sunday Evening,021509_FourWordsToDescribeElders_MikeRoy.mp3
2/15/09,Elders And Deacons,Gary Henry,Elders and Deacons,Sunday Morning,021509_EldersAndDeacons_GaryHenry.mp3
2/8/09,Life Of Joseph,Jeremy Sweets,N/A,Sunday Morning,020809_LifeOfJoseph_JeremySweets.mp3
2/1/09,Elders And Deacons,Jeremy Sweets,Elders and Deacons,Sunday Evening,020109_EldersAndDeacons_JeremySweets.mp3
2/1/09,Elders And Deacons,Mike Roy,Elders and Deacons,Sunday Morning,020109_EldersAndDeacons_MikeRoy.mp3
1/25/09,Abortion,Mike Roy,N/A,Sunday Morning,012509_Abortion_MikeRoy.mp3
1/25/09,Back To The Bible - Daily Bible Study,Jeremy Sweets,N/A,Sunday Evening,012509_BackToTheBibleDailyStudy_JeremySweets.mp3
1/18/09,Psalm 4,Gary Henry,N/A,Sunday Evening,011809_Psalm4_GaryHenry.mp3
1/18/09,Psalm 3,Gary Henry,N/A,Sunday Morning,011809_Psalm3_GaryHenry.mp3
1/11/09,Our Speech Betrays Us,Jeremy Sweets,N/A,Sunday Morning,011109_OurSpeechBetraysUs_JeremySweets.mp3
1/4/09,What Is The Basis Of Our Salvation,Mike Roy,N/A,Sunday Evening,010408_WhatIsTheBasisOfOurSalvation_MikeRoy.mp3
1/4/09,All Sufficient Grace For Even Me,Gary Henry,N/A,Sunday Morning,010408_AllSufficientGrace_GaryHenry.mp3
12/28/08,Reading the Bible Every Year,Gary Henry,N/A,Sunday Evening,122808_ReadingTheBibleEveryYear_GaryHenry.mp3
12/28/08,"Reaching Forward, Part 6: Pressing Toward the Goal",Gary Henry,Reaching Forward,Sunday Morning,122808_ReachingForward6_PressingTowardTheGoal_GaryHenry.mp3
12/21/08,Unity In Christ,Jeremy Sweets,N/A,Sunday Evening,122108_UnityInChrist_JeremySweets.mp3
12/21/08,Remembering Jesus His Way,Mike Roy,N/A,Sunday Morning,122108_RememberingJesusHisWay_MikerRoy.mp3
12/14/08,"Reaching Forward, Part 5: Prize of the Upward Call",Gary Henry,Reaching Forward,Sunday Morning,121408_ReachingForward5_PrizeOfTheUpwardCall.mp3
12/7/08,Living a Controlled Life,Norman Harber,N/A,Sunday Morning,120708_LivingAControlledLife_NormanHarber.mp3
12/7/08,The Battle Over the Bible,David Tant,N/A,Sunday Evening,DTant-Battle-Bible.pdf 120708_TheBattleOverTheBible_DavidTant.mp3
11/30/08,Those That Are Ready,Jeremy Sweets,N/A,Sunday Morning,113008_ThoseThatAreReady_JeremySweets.mp3
11/30/08,"Reaching Forward, Part 4: The Mind of the Mature Christian",Gary Henry,Reaching Forward,Sunday Evening,113008_ReachingForward4_MindOTtheMatureChristian_GaryHenry.mp3
11/23/08,A Living Hope,Jeremy Sweets,N/A,Sunday Evening,112308_Hope_JeremySweets.mp3
11/23/08,"Reaching Forward, Part 3: Reaching Forward To What Lies Ahead",Gary Henry,Reaching Forward,Sunday Evening,112308_ReachingForward3_ReachingForwardtoAhead_GaryHenry.mp3
11/16/08,What I Want My Children To Know,Mike Roy,N/A,Sunday Evening,111608_WhatIWantMyChildrenToKnow_MikeRoy.mp3
11/16/08,The Power of an Invitation,Mike Roy,N/A,Sunday Morning,111608_ThePowerOfInvitation_MikeRoy.mp3
11/9/08,"Reaching Forward, Part 1: Life in Christ",Gary Henry,Reaching Forward,Sunday Morning,110908_ReachingForward1_LifeInChrist_GaryHenry.mp3
11/9/08,"Reaching Forward, Part 2: Forgetting What is Behind",Gary Henry,Reaching Forward,Sunday Evening,110908_ReachingForward2_ForgettingWhatIsBehind_GaryHenry.mp3
11/2/08,Resurrection of Jesus Christ,Mike Roy,N/A,Sunday Morning,110208_ResurrectionofJesusChrist_MikeRoy.mp3
11/2/08,God Is Our Stability,Jeremy Sweets,N/A,Sunday Evening,110208_GodIsOurStability_JeremySweets.mp3
10/12/08,God Still Rules From Heaven,Mike Roy,N/A,Sunday Morning,101208_GodRulesFromHeaven_MikeRoy.mp3
10/5/08,The Requirements of Real Repentance,Gary Henry,N/A,Sunday Evening,082111_WhatMakesHellHell_GaryHenry.mp3
10/5/08,Attaining Balance; Avoiding Pride and Discouragement,Gary Henry,N/A,Sunday Morning,092511_LessonsFromTheGroundUp_NormanHarber.mp3
9/28/08,The Lord Is My Defense,Mike Roy,N/A,Sunday Evening,092808_TheLordIsMyDefense_MikeRoy.mp3
9/28/08,Working With A Purpose,Jeremy Sweets,N/A,Sunday Morning,092808_WorkingWithaPurpose_JeremySweets-1501985758.mp3
9/21/08,Deuteronomy 4,Mike Roy,N/A,Sunday Evening,092108_Dueteronomy4_MikeRoy.mp3
9/21/08,Enduring Crisis,Jeremy Sweets,N/A,Sunday Morning,092108_EnduringCrisis_JeremySweets.mp3
9/14/08,Oaths,Jeremy Sweets,N/A,Sunday Morning,091408_Oaths_JeremySweets.mp3
9/7/08,The Grace of the Lord Jesus Be With You,Gary Henry,N/A,Sunday Evening,090708_TheGraceOfTheLordJesusBeWithYou_GaryHenry.mp3
9/7/08,In the Beginning,Gary Henry,N/A,Sunday Morning,090708_InTheBeginning_GaryHenry.mp3
8/31/08,Selfishness - Self Centeredness,Gary Henry,N/A,Sunday Morning,083108_SelfishnessSelfCentered_GaryHenry.mp3
8/17/08,Can We Understand the Bible Alike?,Mike Roy,N/A,Sunday Evening,081708_CanWeUnderstandTheBibleAlike_MikeRoy.mp3
8/17/08,Living Lives Not To Hinder the Lord,Gary Henry,N/A,Sunday Morning,081708_LivingLivesNotHinderLord_GaryHenry.mp3
8/10/08,Philippians 3,Gary Henry,N/A,Sunday Morning,081008_Philippians3_GaryHenry.mp3
8/3/08,Bread of Life,Jeremy Sweets,N/A,Sunday Evening,080308_BreadOfLife_JeremySweets.mp3
8/3/08,Feeding the 5000,Jeremy Sweets,N/A,Sunday Morning,080308_FeedingThe5000_JeremySweets.mp3
7/27/08,Other Names For Christians in the New Testament,Gary Henry,N/A,Sunday Morning,072708_OtherNamesForChristiansInNewTestament_GaryHenry.mp3
7/20/08,Lessons From Israel,Jeremy Sweets,N/A,Sunday Morning,072008_LessonsFromIsreal_JeremySweets.mp3
7/13/08,Accept One Another,Jeremy Sweets,N/A,Sunday Morning,071308_AcceptOneAnother_JeremySweets.mp3
7/6/08,Resolved to Serve God,Unknown,N/A,Sunday Morning,030616_HeavenPlaceOfEternalLight_MikeRoy.mp3
6/22/08,The Extremes of God,Mike Roy,N/A,Sunday Morning,062208_TheExtremesofGod_MikeRoy.mp3
6/8/08,Model for Personal Work,Mike Roy,N/A,Sunday Morning,060808_ModelForPersonalWork_MikeRoy.mp3
6/1/08,The Power of Humility,Jeremy Sweets,N/A,Sunday Evening,060108_ThePowerOfHumility_JeremySweets.mp3
6/1/08,Attitude Is Not the Most Important Thing,Gary Henry,N/A,Sunday Morning,060108_AttitudeIsNotTheMostImportantThing_GaryHenry.mp3
5/25/08,"Angels, Part 2",Gary Henry,N/A,Sunday Evening,052508_AngelsPartII_GaryHenry.mp3
5/25/08,"Angels, Part 1",Gary Henry,N/A,Sunday Morning,052508_AngelsPartI_GaryHenry.mp3
5/18/08,A Woman's Contribution to the Local Church,Gary Henry,N/A,Sunday Evening,051808_AWomansContributionToTheLocalChurch_GaryHenry.mp3
5/18/08,How Feminism Will Impact the Church,Gary Henry,N/A,Sunday Morning,051808_HowFeminismWillImpactTheChurch_GaryHenry.mp3
5/11/08,Raising Strong Families Through Godly Women,Mike Roy,N/A,Sunday Morning,051108_RaisingStrongFamiliesThroughGodlyWomen_MikeRoy.mp3
5/4/08,Types and Antitypes,Jeremy Sweets,N/A,Sunday Evening,050408_TypesAndAntiTypes_JeremySweets.mp3
5/4/08,Lot: The Mistake of a Lifetime,Mike Roy,N/A,Sunday Morning,050408_LotTheMistakeOfALifetime_MikeRoy.mp3
4/27/08,The Rich Citizen,Jeremy Sweets,N/A,Sunday Evening,042708_TheRichCitizen_JeremySweets.mp3
4/20/08,Hezekiah: A Man of Faith,Jeremy Sweets,N/A,Sunday Evening,042008_HezekiahAManOfFaith_JeremySweets.mp3
4/20/08,Why Were You Created?,Mike Roy,N/A,Sunday Morning,042008_WhyWereYouCreated_MikeRoy.mp3
4/18/08,Learning Life's Important Lessons,Paul Earnhart,N/A,Gospel Meeting,041808_LearningLifesImportantLessons_PaulEarnhart.mp3
4/17/08,What It Means To Believe In Jesus,Paul Earnhart,N/A,Gospel Meeting,041708_WhatItMeansToBelieveInJesus_PaulEarnhart.mp3
4/16/08,How Do You See the Church?,Paul Earnhart,N/A,Gospel Meeting,041608_HowDoYouSeeTheChurch_PaulEarnhart.mp3
4/14/08,The Triumph of God's Grace,Paul Earnhart,N/A,Gospel Meeting,041408_TheTriumphOfGodsGrace_PaulEarnhart.mp3
4/13/08,The Tragedy of Our Sin,Paul Earnhart,N/A,Gospel Meeting,041308PM_TheTragedyOfOurSin_PaulEarnhart.mp3
4/13/08,The Incomparable God,Paul Earnhart,N/A,Gospel Meeting,041308AM_TheIncomparableGod_PaulEarnhart.mp3
4/13/08,Eating at the Table of the Lord,Paul Earnhart,N/A,Gospel Meeting,041308BC_EatingAtTheTableOfTheLord_PaulEarnhart.mp3
4/6/08,Entertaining Angels,Jeremy Sweets,N/A,Sunday Evening,040608_EntertainingAngels_JeremySweets.mp3
4/6/08,The Lord is Coming,Mike Roy,N/A,Sunday Morning,040608_SoberingTruthThatTheLordIsComing_MikeRoy.mp3
3/30/08,Can We Carry the Cross of Christ?,Kevin Stinson,N/A,Sunday Evening,033008_CanWeCarryTheCrossForChrist_KevinStinson.mp3
3/30/08,Governing Our Hearts,Gary Henry,N/A,Sunday Morning,033008_GoverningOurHeart_GaryHenry.mp3
3/23/08,New Covenant Worship,Mike Roy,N/A,Sunday Evening,032308_NEWCOVENANTWORSHIP_MIKEROY-1501901400.mp3
3/23/08,"It's Friday, But Sunday's Coming!",Jeremy Sweets,N/A,Sunday Morning,032308_ITSFRIDAYBUTSUNDAYISCOMING_JEREMYSWEETS-1501901334.mp3
3/16/08,Joseph's Bones,Mike Roy,N/A,Sunday Evening,031608_FAITHOFJOSEPH_MIKEROY.mp3
3/16/08,"Open Our Eyes, Lord",Jeremy Sweets,N/A,Sunday Morning,031608_OPENMYEYESLORD_JEREMYSWEETS-1501900932.mp3
3/9/08,Loving What is Right,Gary Henry,N/A,Sunday Morning,030908_LOVINGWHATISRIGHT_GARYHENRY.mp3
3/2/08,Keys to Happiness,Gary Henry,N/A,Sunday Evening,030208_HAPPINESS_GARYHENRY.mp3
3/2/08,"Diligently Seeking God, Part 6",Gary Henry,Diligently Seeking God,Sunday Morning,030208_DILIGENTLYSEEKINGGOD6_GARYHENRY.mp3
2/24/08,The Real Issue of Life,Mike Roy,N/A,Sunday Evening,022408_THEREALISSUEOFLIFE_MIKEROY-1501815487.mp3
2/24/08,Being More Like Jesus,Jeremy Sweets,N/A,Sunday Morning,022408_BEINGMORELIKEJESUS_JEREMYSWEETS.mp3
2/17/08,How do you see Jesus?,Mike Roy,N/A,Sunday Evening,021708_HOWDOYOUSEEJESUS_MIKEROY.mp3
2/17/08,"Diligently Seeking God, Part 5",Gary Henry,Diligently Seeking God,Sunday Morning,121910_KeysToChristianFaithfulness_GaryHenry.mp3
2/10/08,Calling on the Name of the Lord,Jeremy Sweets,N/A,Sunday Evening,021008_CALLINGONTHENAMEOFTHELORD_JEREMYSWEETS.mp3
2/3/08,"Diligently Seeking God, Part 4",Gary Henry,Diligently Seeking God,Sunday Evening,020308_DILIGENTLYSEEKINGGOD4.mp3
2/3/08,"Diligently Seeking God, Part 3",Gary Henry,Diligently Seeking God,Sunday Morning,020308_DILIGENTLYSEEKINGGOD4-1501798969.mp3
1/27/08,Do You Stumble Over Jesus?,Mike Roy,N/A,Sunday Evening,012708_DOYOUSTUMBLEOVERJESUS_MIKEROY.mp3
1/27/08,"Diligently Seeking God, Part 2",Gary Henry,Diligently Seeking God,Sunday Morning,012708_DOYOUSTUMBLEOVERJESUS_MIKEROY-1501795271.mp3
1/20/08,"Diligently Seeking God, Part 1",Gary Henry,Diligently Seeking God,Sunday Evening,012008_DILIGENTLYSEEKINGGOD1_GARYHENRY.mp3
1/20/08,Love: The Heart of Christianity,Jeremy Sweets,N/A,Sunday Morning,012008_LOVEHEARTOFCHRISTIANITY_JEREMYSWEETS.mp3
1/13/08,Distracted With Business,Jeremy Sweets,N/A,Sunday Morning,011308_DISTRACTEDWITHBUSINESS_JEREMYSWEETS.mp3
1/6/08,Building Sound Congregations,Mike Roy,N/A,Sunday Evening,010608_BUILDSOUNDCONGREGATION_MIKEROY.mp3
1/6/08,God Prepares Us To Work,Gary Henry,N/A,Sunday Morning,010608_GODPREPARESUSTOWORK_GARYHENRY.mp3
